xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-LLT
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.240118,   0.003702,   0.015076,   0.018778,   0.000000,   0.000000,   0.016318,   0.000000,   0.000000,   17.8814,    0.0091
   -4.500,     0.000,  -0.199320,   0.002576,   0.013487,   0.016063,   0.000000,   0.000000,   0.005337,   0.000000,   0.000000,   17.8814,    0.0025
   -4.000,     0.000,  -0.163543,   0.001747,   0.011882,   0.013629,   0.000000,  -0.000000,  -0.003263,   0.000000,   0.000000,   17.8814,   -0.0050
   -3.500,     0.000,  -0.132525,   0.001150,   0.010818,   0.011968,   0.000000,   0.000000,  -0.008505,   0.000000,   0.000000,   17.8814,   -0.0121
   -3.000,     0.000,  -0.099484,   0.000650,   0.010578,   0.011228,   0.000000,   0.000000,  -0.013967,   0.000000,   0.000000,   17.8814,   -0.0244
   -2.500,     0.000,  -0.065281,   0.000282,   0.010656,   0.010938,   0.000000,   0.000000,  -0.019804,   0.000000,   0.000000,   17.8814,   -0.0523
   -2.000,     0.000,  -0.029321,   0.000059,   0.010806,   0.010865,   0.000000,   0.000000,  -0.026621,   0.000000,   0.000000,   17.8814,    0.1080
   -1.500,     0.000,   0.009786,   0.000005,   0.010961,   0.010965,   0.000000,  -0.000000,  -0.035186,   0.000000,  -0.000000,   17.8814,    0.7196
   -1.000,     0.000,   0.058314,   0.000206,   0.011042,   0.011248,   0.000000,  -0.000000,  -0.049134,   0.000000,   0.000000,   17.8814,    0.3718
   -0.500,     0.000,   0.110036,   0.000742,   0.011073,   0.011816,   0.000000,  -0.000000,  -0.065036,   0.000000,   0.000000,   17.8814,    0.1166
    0.000,     0.000,   0.164668,   0.001672,   0.011041,   0.012714,   0.000000,  -0.000000,  -0.082844,   0.000000,   0.000000,   17.8814,    0.0868
    0.500,     0.000,   0.217357,   0.002923,   0.010942,   0.013865,   0.000000,  -0.000000,  -0.099978,   0.000000,   0.000000,   17.8814,    0.0762
    1.000,     0.000,   0.267729,   0.004452,   0.010811,   0.015263,   0.000000,  -0.000000,  -0.116089,   0.000000,   0.000000,   17.8814,    0.0708
    1.500,     0.000,   0.313464,   0.006140,   0.010672,   0.016812,   0.000000,  -0.000000,  -0.129955,   0.000000,   0.000000,   17.8814,    0.0669
    2.000,     0.000,   0.349351,   0.007718,   0.010584,   0.018302,   0.000000,  -0.000000,  -0.138861,   0.000000,   0.000000,   17.8814,    0.0635
    2.500,     0.000,   0.383288,   0.009336,   0.010527,   0.019863,   0.000000,  -0.000000,  -0.146570,   0.000000,   0.000000,   17.8814,    0.0610
    3.000,     0.000,   0.416321,   0.011056,   0.010497,   0.021553,   0.000000,  -0.000000,  -0.153704,   0.000000,   0.000000,   17.8814,    0.0588
    3.500,     0.000,   0.449177,   0.012903,   0.010491,   0.023394,   0.000000,  -0.000000,  -0.160650,   0.000000,  -0.000000,   17.8814,    0.0569
    4.000,     0.000,   0.482005,   0.014878,   0.010508,   0.025386,   0.000000,  -0.000000,  -0.167475,   0.000000,   0.000000,   17.8814,    0.0552
    4.500,     0.000,   0.514959,   0.016958,   0.010545,   0.027503,   0.000000,   0.000000,  -0.174194,   0.000000,   0.000000,   17.8814,    0.0537
    5.000,     0.000,   0.547804,   0.019204,   0.010600,   0.029804,   0.000000,  -0.000000,  -0.180894,   0.000000,   0.000000,   17.8814,    0.0524
    5.500,     0.000,   0.580846,   0.021600,   0.010675,   0.032275,   0.000000,  -0.000000,  -0.187656,   0.000000,   0.000000,   17.8814,    0.0511
    6.000,     0.000,   0.614012,   0.024152,   0.010774,   0.034926,   0.000000,  -0.000000,  -0.194461,   0.000000,   0.000000,   17.8814,    0.0501
    6.500,     0.000,   0.647074,   0.026830,   0.010897,   0.037727,   0.000000,  -0.000000,  -0.201174,   0.000000,   0.000000,   17.8814,    0.0491
    7.000,     0.000,   0.679968,   0.029641,   0.011057,   0.040698,   0.000000,  -0.000000,  -0.207813,   0.000000,   0.000000,   17.8814,    0.0482
    7.500,     0.000,   0.712606,   0.032567,   0.011284,   0.043851,   0.000000,  -0.000000,  -0.214357,   0.000000,   0.000000,   17.8814,    0.0474
    8.000,     0.000,   0.744499,   0.035574,   0.011640,   0.047214,   0.000000,   0.000000,  -0.220637,   0.000000,   0.000000,   17.8814,    0.0466
    8.500,     0.000,   0.775034,   0.038605,   0.012202,   0.050807,   0.000000,  -0.000000,  -0.226449,   0.000000,   0.000000,   17.8814,    0.0458
    9.000,     0.000,   0.804489,   0.041664,   0.012956,   0.054620,   0.000000,   0.000000,  -0.231961,   0.000000,   0.000000,   17.8814,    0.0452
    9.500,     0.000,   0.833441,   0.044785,   0.013851,   0.058636,   0.000000,  -0.000000,  -0.237391,   0.000000,   0.000000,   17.8814,    0.0445
