xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-VLM1-Inviscid
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.248156,   0.003755,   0.000000,   0.003755,  -0.000000,  -0.000000,   0.028007,   0.000000,   0.000000,   17.8814,    0.0182
   -4.500,     0.000,  -0.212897,   0.002771,   0.000000,   0.002771,  -0.000000,  -0.000000,   0.019710,  -0.000000,  -0.000000,   17.8814,    0.0149
   -4.000,     0.000,  -0.177593,   0.001936,   0.000000,   0.001936,  -0.000000,   0.000000,   0.011392,  -0.000000,  -0.000000,   17.8814,    0.0104
   -3.500,     0.000,  -0.142253,   0.001252,   0.000000,   0.001252,  -0.000000,  -0.000000,   0.003055,   0.000000,   0.000000,   17.8814,    0.0035
   -3.000,     0.000,  -0.106881,   0.000719,   0.000000,   0.000719,  -0.000000,  -0.000000,  -0.005297,   0.000000,   0.000000,   17.8814,   -0.0079
   -2.500,     0.000,  -0.071486,   0.000338,   0.000000,   0.000338,  -0.000000,  -0.000000,  -0.013662,  -0.000000,  -0.000000,   17.8814,   -0.0306
   -2.000,     0.000,  -0.036073,   0.000110,   0.000000,   0.000110,  -0.000000,  -0.000000,  -0.022039,  -0.000000,  -0.000000,   17.8814,   -0.0979
   -1.500,     0.000,  -0.000649,   0.000033,   0.000000,   0.000033,  -0.000000,  -0.000000,  -0.030423,   0.000000,   0.000000,   17.8814,   -7.5062
   -1.000,     0.000,   0.034779,   0.000110,   0.000000,   0.000110,  -0.000000,  -0.000000,  -0.038813,  -0.000000,  -0.000000,   17.8814,    0.1787
   -0.500,     0.000,   0.070204,   0.000339,   0.000000,   0.000339,  -0.000000,   0.000000,  -0.047206,   0.000000,   0.000000,   17.8814,    0.1076
    0.000,     0.000,   0.105619,   0.000721,   0.000000,   0.000721,  -0.000000,   0.000000,  -0.055599,   0.000000,   0.000000,   17.8814,    0.0842
    0.500,     0.000,   0.141019,   0.001255,   0.000000,   0.001255,  -0.000000,   0.000000,  -0.063990,   0.000000,   0.000000,   17.8814,    0.0726
    1.000,     0.000,   0.176396,   0.001942,   0.000000,   0.001942,  -0.000000,   0.000000,  -0.072377,  -0.000000,  -0.000000,   17.8814,    0.0656
    1.500,     0.000,   0.211744,   0.002780,   0.000000,   0.002780,  -0.000000,   0.000000,  -0.080757,  -0.000000,  -0.000000,   17.8814,    0.0610
    2.000,     0.000,   0.247055,   0.003769,   0.000000,   0.003769,  -0.000000,   0.000000,  -0.089127,   0.000000,   0.000000,   17.8814,    0.0577
    2.500,     0.000,   0.282324,   0.004909,   0.000000,   0.004909,  -0.000000,   0.000000,  -0.097484,   0.000000,   0.000000,   17.8814,    0.0552
    3.000,     0.000,   0.317543,   0.006199,   0.000000,   0.006199,  -0.000000,   0.000000,  -0.105827,  -0.000000,  -0.000000,   17.8814,    0.0533
    3.500,     0.000,   0.352707,   0.007638,   0.000000,   0.007638,  -0.000000,   0.000000,  -0.114152,   0.000000,   0.000000,   17.8814,    0.0518
