xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-VLM2
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.247707,   0.003738,   0.015367,   0.019105,   0.000000,  -0.000000,   0.028817,  -0.000000,   0.000000,   17.8814,    0.0186
   -4.500,     0.000,  -0.212584,   0.002752,   0.014058,   0.016809,   0.000000,  -0.000000,   0.020489,  -0.000000,   0.000000,   17.8814,    0.0153
   -4.000,     0.000,  -0.177417,   0.001916,   0.012649,   0.014565,   0.000000,  -0.000000,   0.012144,  -0.000000,  -0.000000,   17.8814,    0.0108
   -3.500,     0.000,  -0.142212,   0.001230,   0.011307,   0.012536,   0.000000,  -0.000000,   0.003788,  -0.000000,   0.000000,   17.8814,    0.0041
   -3.000,     0.000,  -0.106977,   0.000695,   0.010640,   0.011335,   0.000000,  -0.000000,  -0.004569,   0.000000,   0.000000,   17.8814,   -0.0070
   -2.500,     0.000,  -0.071717,   0.000312,   0.010667,   0.010979,   0.000000,  -0.000000,  -0.012929,   0.000000,   0.000000,   17.8814,   -0.0291
   -2.000,     0.000,  -0.036440,   0.000080,   0.010814,   0.010895,   0.000000,  -0.000000,  -0.021299,   0.000000,  -0.000000,   17.8814,   -0.0940
   -1.500,     0.000,  -0.001153,   0.000001,   0.010957,   0.010959,   0.000000,   0.000000,  -0.029678,  -0.000000,   0.000000,   17.8814,   -4.1334
   -1.000,     0.000,   0.034139,   0.000075,   0.011060,   0.011135,   0.000000,   0.000000,  -0.038063,  -0.000000,   0.000000,   17.8814,    0.1787
   -0.500,     0.000,   0.069429,   0.000300,   0.011125,   0.011425,   0.000000,   0.000000,  -0.046453,  -0.000000,  -0.000000,   17.8814,    0.1071
    0.000,     0.000,   0.104709,   0.000679,   0.011137,   0.011816,   0.000000,   0.000000,  -0.054842,  -0.000000,  -0.000000,   17.8814,    0.0838
    0.500,     0.000,   0.139973,   0.001209,   0.011137,   0.012347,   0.000000,   0.000000,  -0.063230,   0.000000,   0.000000,   17.8814,    0.0722
    1.000,     0.000,   0.175215,   0.001892,   0.011095,   0.012986,   0.000000,   0.000000,  -0.071614,   0.000000,  -0.000000,   17.8814,    0.0653
    1.500,     0.000,   0.210427,   0.002725,   0.011030,   0.013755,   0.000000,   0.000000,  -0.079989,   0.000000,   0.000000,   17.8814,    0.0607
    2.000,     0.000,   0.245604,   0.003710,   0.010938,   0.014648,   0.000000,   0.000000,  -0.088355,   0.000000,   0.000000,   17.8814,    0.0575
    2.500,     0.000,   0.280738,   0.004845,   0.010820,   0.015665,   0.000000,   0.000000,  -0.096708,   0.000000,   0.000000,   17.8814,    0.0550
    3.000,     0.000,   0.315823,   0.006130,   0.010711,   0.016841,   0.000000,   0.000000,  -0.105046,   0.000000,   0.000000,   17.8814,    0.0531
    3.500,     0.000,   0.350852,   0.007563,   0.010629,   0.018193,   0.000000,   0.000000,  -0.113366,   0.000000,  -0.000000,   17.8814,    0.0516
