  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:30:33	  -5.000	   99.80	 1026.08	   20.74	  744.84	   1.216	  -42.90	  148.77	  172.91	  106.78	   48.02	   16.16	   -1.72	  -11.61	  -17.12	  -25.13	  -20.11	  -31.61	  -31.96	  -36.21	  -29.38	  -25.67	  -21.09	  -16.72	  -10.94	   -7.67	   -5.71	   -2.17	    0.45	   -0.22	   14.76	  -40.66	 -359.98	 -313.39	 -301.44	 -120.69	 -110.84	  -95.39	  -84.63	  -75.51	  -67.96	  -61.07	  -55.26	  -50.53	  -45.09	  -39.93	  -35.39	  -30.39	  -24.53	  -18.97	  -12.51	   -5.94	    0.88	    7.66	   14.76	  200.68	  200.71	  201.53	  200.60	  200.40	  200.32	  201.52	  201.79	  200.62	  200.93	  200.77	  200.65	  200.72	  200.56	  200.65	  201.28	  200.35	  200.14	  200.45	  198.10	  186.62	  170.23	  158.94	  158.75	  170.66	  189.23	  196.20	  200.04	  200.69	  200.87	  198.56	  201.14	  200.71	  197.79	  200.64	  201.45	  200.67	  200.48	  200.63	  201.40	  200.06	  201.43	  200.41	  197.60	  198.85	  200.46	  200.82	  195.51	   10.45	    8.93	    9.59	    9.55	    9.93	    9.89	    9.34	   10.72	   11.00	   10.86	   10.89	    8.24	   -0.03	    0.00	   -0.05	   -0.01
       2	 15:31:13	  -4.000	   98.44	 1026.11	   20.75	  745.01	   1.216	   10.01	  150.64	  155.67	   83.15	   27.07	   -0.36	   -7.44	  -24.72	  -28.60	  -35.08	  -30.54	  -39.56	  -38.07	  -42.07	  -35.85	  -30.63	  -24.69	  -20.65	  -14.70	  -12.17	  -11.49	   -7.91	   -5.73	   -6.99	   19.32	   14.50	 -317.46	 -223.21	 -158.11	 -119.54	  -97.66	  -82.32	  -72.95	  -65.05	  -58.36	  -51.61	  -45.26	  -39.94	  -34.78	  -30.29	  -26.84	  -22.73	  -17.81	  -12.83	   -6.77	   -0.62	    6.17	   13.07	   19.32	  197.57	  198.32	  198.69	  197.77	  197.61	  197.48	  198.84	  199.09	  197.82	  198.18	  198.05	  197.62	  197.92	  197.83	  197.64	  198.60	  197.68	  197.04	  195.85	  189.31	  175.77	  165.09	  166.54	  177.60	  187.27	  196.11	  196.72	  197.82	  197.93	  197.99	  195.67	  198.40	  198.23	  195.53	  198.38	  199.34	  198.50	  198.42	  198.42	  199.20	  198.02	  199.20	  198.20	  195.64	  196.79	  198.34	  198.58	  191.16	   10.59	    9.75	   10.36	   10.22	   10.45	   11.00	    9.67	   11.12	   11.26	   11.00	   10.98	    9.21	   -0.12	   -0.03	   -0.03	   -0.02
       3	 15:31:27	  -3.000	   96.95	 1026.13	   20.74	  744.97	   1.216	   79.75	  148.42	  135.70	   59.80	   12.50	  -11.20	  -20.79	  -37.56	  -40.24	  -45.73	  -39.47	  -47.31	  -46.51	  -48.35	  -40.39	  -35.15	  -29.46	  -24.62	  -18.90	  -16.74	  -17.22	  -14.04	  -12.33	  -11.62	   19.72	   85.89	 -208.56	 -166.48	 -124.97	  -96.96	  -80.31	  -68.76	  -60.55	  -54.32	  -49.30	  -44.55	  -40.60	  -37.52	  -33.58	  -30.11	  -26.98	  -23.72	  -20.03	  -16.76	  -12.34	   -5.78	    3.17	   13.95	   19.72	  197.95	  198.91	  199.09	  198.08	  197.93	  197.86	  199.18	  199.43	  198.19	  198.63	  198.64	  198.13	  198.31	  198.15	  198.18	  198.93	  197.72	  196.24	  193.64	  186.34	  176.50	  171.61	  175.97	  183.86	  190.55	  196.99	  197.16	  198.19	  198.33	  198.41	  196.14	  198.80	  198.88	  195.81	  198.95	  199.78	  198.93	  198.86	  199.01	  199.73	  198.55	  199.78	  198.79	  196.09	  197.26	  198.84	  199.02	  193.56	   10.20	    9.78	   10.38	   10.18	   10.27	   10.94	   10.26	   10.94	   10.97	   10.66	   10.64	    9.31	    0.14	   -0.04	   -0.03	   -0.02
       4	 15:31:40	  -2.000	   97.26	 1026.15	   20.75	  744.68	   1.216	  133.73	  136.76	  110.91	   36.54	   -6.77	  -28.67	  -36.37	  -49.33	  -50.82	  -55.13	  -47.77	  -54.21	  -51.40	  -53.10	  -45.18	  -38.90	  -33.30	  -28.31	  -23.84	  -21.73	  -23.38	  -21.32	  -16.60	   14.36	   20.52	  140.05	 -107.62	 -111.04	  -89.71	  -73.76	  -62.59	  -54.26	  -48.30	  -43.59	  -39.86	  -36.16	  -33.13	  -30.64	  -27.23	  -24.28	  -21.31	  -18.00	  -14.29	  -11.24	   -7.98	   -5.42	   -3.17	    0.65	   20.52	  196.53	  197.56	  197.45	  196.85	  196.64	  196.52	  197.88	  198.14	  196.78	  197.12	  197.50	  196.71	  196.98	  196.83	  196.78	  197.45	  196.16	  194.95	  193.69	  190.23	  183.09	  176.01	  175.57	  178.72	  184.22	  192.03	  193.78	  195.98	  196.84	  196.92	  194.88	  197.58	  197.82	  194.29	  197.89	  198.84	  197.89	  197.79	  197.94	  198.42	  197.62	  198.79	  197.75	  195.22	  196.28	  197.93	  197.97	  193.30	   10.22	   10.02	   10.63	   10.36	    9.96	   10.88	   10.11	   10.98	   11.06	   10.69	   10.66	    9.61	    0.34	   -0.04	   -0.04	   -0.01
       5	 15:31:59	  -1.000	   98.00	 1026.09	   20.76	  744.92	   1.216	  170.80	  122.00	   84.46	   16.24	  -28.05	  -45.77	  -51.30	  -61.46	  -63.92	  -63.92	  -57.01	  -61.78	  -57.65	  -59.20	  -49.81	  -43.33	  -38.60	  -33.48	  -30.54	  -27.92	  -31.42	  -30.08	    2.57	   27.63	   23.47	  176.23	  -22.15	  -59.93	  -59.33	  -53.01	  -46.81	  -41.21	  -37.45	  -34.31	  -31.62	  -28.97	  -26.78	  -24.95	  -22.12	  -19.60	  -17.01	  -13.94	  -10.12	   -6.87	   -3.21	   -0.34	    2.05	    3.63	   23.47	  197.48	  198.51	  198.72	  197.94	  197.44	  197.50	  198.76	  199.11	  197.64	  198.23	  198.70	  197.81	  197.87	  197.85	  197.94	  198.43	  197.57	  196.86	  197.22	  196.52	  190.61	  180.50	  174.88	  173.61	  176.76	  184.80	  189.37	  194.63	  197.08	  197.82	  195.68	  198.56	  197.76	  195.01	  197.96	  198.84	  197.88	  197.77	  197.92	  198.50	  197.52	  198.57	  197.66	  195.09	  196.21	  197.89	  197.98	  192.14	    9.93	   10.07	   10.62	   10.31	   10.20	   10.74	   10.10	   10.84	   10.85	   10.46	   10.41	    9.70	   -0.09	   -0.05	   -0.04	   -0.02
       6	 15:32:13	  -0.000	   97.26	 1026.13	   20.77	  744.65	   1.216	  188.20	   88.64	   42.72	  -22.36	  -58.89	  -68.87	  -72.50	  -80.17	  -79.33	  -79.48	  -70.95	  -74.76	  -69.48	  -68.81	  -58.83	  -51.87	  -47.49	  -44.05	  -42.16	  -39.92	  -42.47	  -40.52	    5.12	   22.02	   16.69	  194.37	   64.83	   -1.88	  -22.33	  -25.21	  -25.15	  -22.97	  -22.46	  -20.81	  -19.57	  -17.86	  -16.50	  -15.52	  -13.22	  -11.14	   -8.98	   -6.21	   -2.52	    0.73	    4.43	    7.32	    9.80	   11.08	   16.69	  196.94	  197.91	  197.88	  197.28	  196.82	  196.89	  198.04	  198.43	  196.99	  197.55	  198.09	  197.08	  197.25	  197.22	  197.04	  197.84	  196.89	  196.36	  197.24	  196.45	  189.32	  177.17	  169.95	  169.70	  175.78	  186.67	  191.72	  195.77	  197.16	  197.24	  195.11	  197.80	  197.43	  193.94	  197.60	  198.52	  197.53	  197.40	  197.61	  198.29	  197.33	  198.40	  197.40	  194.92	  195.96	  197.57	  197.60	  192.23	    8.96	    9.96	   10.48	   10.07	    9.95	   10.26	    9.94	   10.23	   10.08	    9.56	    9.49	    9.73	   -1.03	   -0.03	   -0.04	   -0.01
       7	 15:32:29	   1.000	   97.21	 1026.16	   20.78	  744.97	   1.216	  186.58	   51.75	    2.54	  -52.27	  -83.16	  -87.39	  -88.29	  -93.65	  -90.55	  -88.36	  -78.96	  -82.60	  -75.88	  -74.15	  -63.06	  -57.85	  -53.43	  -51.13	  -49.35	  -48.16	  -50.90	  -13.74	   14.95	   20.59	   20.72	  193.74	  118.01	   39.85	    7.58	   -5.16	   -8.59	   -9.85	  -10.82	  -10.73	  -10.58	   -9.84	   -9.30	   -8.93	   -7.54	   -6.11	   -4.66	   -2.55	    0.62	    3.47	    7.28	   10.74	   13.97	   15.89	   20.72	  196.57	  197.66	  197.38	  196.85	  196.48	  196.74	  197.81	  197.97	  196.72	  197.12	  197.78	  196.86	  196.99	  196.81	  196.83	  197.38	  196.46	  196.02	  197.19	  198.48	  196.56	  189.23	  178.40	  167.44	  167.04	  177.81	  186.03	  193.40	  196.31	  196.81	  194.72	  197.64	  197.11	  194.25	  197.28	  198.32	  197.33	  197.11	  197.31	  197.98	  197.01	  198.09	  197.13	  194.73	  195.74	  197.42	  197.48	  191.65	    9.44	   10.84	   11.34	   10.89	   10.74	   10.86	   11.12	   10.91	   10.62	   10.09	   10.01	   10.67	    0.31	   -0.05	   -0.05	   -0.05
       8	 15:32:42	   2.000	   99.11	 1026.22	   20.79	  745.08	   1.216	  176.48	   16.85	  -35.42	  -84.49	 -109.37	 -108.38	 -106.44	 -110.17	 -104.68	 -101.46	  -89.72	  -91.51	  -84.76	  -82.01	  -71.18	  -66.24	  -61.91	  -61.36	  -58.92	  -58.33	  -38.58	    2.85	   12.42	   18.44	   23.80	  183.52	  157.30	   73.34	   31.98	   12.04	    5.26	    1.67	   -1.45	   -2.55	   -3.55	   -3.76	   -4.01	   -4.29	   -3.65	   -2.89	   -2.04	   -0.50	    1.94	    4.32	    7.81	   11.23	   14.93	   17.66	   23.80	  199.31	  200.32	  200.63	  199.57	  199.25	  199.89	  200.30	  200.70	  199.69	  200.07	  200.37	  199.61	  199.62	  199.61	  199.72	  200.11	  199.46	  199.03	  199.87	  201.34	  200.55	  199.50	  199.55	  189.04	  175.39	  169.25	  173.98	  183.99	  193.31	  198.17	  197.23	  200.32	  199.98	  196.93	  200.09	  201.15	  200.22	  200.20	  200.31	  200.98	  199.66	  200.91	  200.01	  197.45	  198.55	  200.07	  200.40	  192.17	    8.75	   10.65	   11.15	   10.65	   10.45	   10.55	   11.38	   10.67	   10.12	    9.53	    9.47	   10.59	   -1.25	   -0.07	   -0.07	   -0.12
       9	 15:33:00	   3.000	   98.19	 1026.15	   20.80	  745.12	   1.216	  127.82	  -38.94	  -87.03	 -122.59	 -136.99	 -130.45	 -123.93	 -125.36	 -117.62	 -110.88	  -99.18	  -99.71	  -92.45	  -88.59	  -77.36	  -74.27	  -70.55	  -70.49	  -68.87	  -53.33	  -10.35	    0.82	    8.77	   16.59	   25.76	  135.22	  184.33	  107.14	   56.48	   31.74	   20.44	   14.27	    9.91	    7.43	    5.13	    3.99	    3.06	    1.78	    1.94	    2.21	    2.52	    3.33	    5.02	    7.00	    9.98	   13.05	   16.63	   19.55	   25.76	  199.20	  200.13	  200.42	  199.32	  199.39	  199.57	  200.17	  200.58	  200.06	  199.79	  200.34	  199.41	  199.52	  199.40	  199.36	  200.03	  199.26	  198.85	  199.72	  200.99	  200.38	  199.08	  198.79	  187.31	  173.10	  168.72	  174.36	  185.03	  194.20	  198.40	  197.10	  200.09	  199.84	  195.85	  199.85	  200.87	  199.94	  199.95	  200.09	  200.63	  199.50	  200.67	  199.74	  197.10	  198.33	  199.83	  200.04	  190.76	    8.61	   10.96	   11.44	   10.82	   10.50	   10.50	   11.23	   10.45	   10.10	    9.43	    9.30	   10.96	   -1.43	   -0.05	   -0.08	   -0.03
