  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 16:09:46	  -5.000	   98.13	 1026.82	   21.46	   0.274	  -2.978	   0.709	   748.3	   1.214
       2	 16:10:21	  -4.000	   98.96	 1026.73	   21.46	   0.207	  -1.858	   0.724	   747.9	   1.214
       3	 16:10:41	  -3.000	   98.80	 1026.80	   21.47	   0.176	  -0.984	   0.742	   748.4	   1.214
       4	 16:11:19	  -2.000	   99.98	 1026.78	   21.48	   0.177	  -0.268	   0.748	   748.2	   1.214
       5	 16:11:34	  -1.000	   98.74	 1026.80	   21.48	   0.176	   0.627	   0.757	   748.1	   1.214
       6	 16:11:45	  -0.000	   99.58	 1026.77	   21.48	   0.185	   1.470	   0.761	   747.8	   1.214
       7	 16:11:55	   1.000	   98.93	 1026.77	   21.48	   0.215	   2.830	   0.771	   748.1	   1.214
       8	 16:12:06	   2.000	   99.06	 1026.77	   21.49	   0.236	   3.699	   0.776	   747.8	   1.214
       9	 16:12:18	   3.000	   97.76	 1026.79	   21.49	   0.279	   4.500	   0.779	   747.7	   1.214
      10	 16:12:35	   4.000	  100.41	 1026.78	   21.49	   0.326	   5.462	   0.780	   747.9	   1.214
      11	 16:12:46	   5.000	   96.58	 1026.82	   21.50	   0.375	   6.305	   0.775	   748.0	   1.214
      12	 16:13:00	   6.000	   99.08	 1026.82	   21.51	   0.437	   7.326	   0.770	   748.2	   1.214
      13	 16:13:10	   7.000	   98.01	 1026.85	   21.52	   0.504	   8.205	   0.761	   747.9	   1.214
      14	 16:13:32	   8.000	   98.73	 1026.77	   21.53	   0.590	   9.233	   0.756	   748.0	   1.214
      15	 16:13:43	   9.000	   97.61	 1026.79	   21.53	   0.678	   9.954	   0.741	   747.7	   1.214
      16	 16:14:07	  10.000	   97.27	 1026.81	   21.53	   0.789	  10.731	   0.732	   747.8	   1.214
      17	 16:14:18	  11.000	   97.15	 1026.82	   21.54	   0.898	  11.283	   0.710	   747.6	   1.214
      18	 16:14:33	  12.000	   97.65	 1026.82	   21.55	   1.024	  11.785	   0.694	   747.5	   1.214
      19	 16:14:45	  13.000	   97.68	 1026.84	   21.55	   1.161	  12.162	   0.675	   747.9	   1.214
      20	 16:15:02	  13.250	   97.81	 1026.85	   21.56	   1.185	  12.066	   0.673	   748.1	   1.214
      21	 16:15:13	  13.500	   98.36	 1026.87	   21.56	   1.224	  12.121	   0.669	   748.2	   1.214
      22	 16:15:21	  13.750	   97.74	 1026.88	   21.56	   1.270	  12.191	   0.665	   748.0	   1.214
      23	 16:15:32	  14.000	   97.92	 1026.79	   21.57	   1.316	  12.151	   0.656	   748.3	   1.214
      24	 16:15:45	  14.250	   97.83	 1026.80	   21.57	   1.362	  12.077	   0.657	   748.0	   1.214
      25	 16:15:57	  14.500	   97.62	 1026.83	   21.58	   1.445	  12.147	   0.651	   748.7	   1.214
